title,author,path,drive,topdir,folder,mtype,size_mb
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_02-Physics_for_Scientists_and_Engineers_4e-Giancoli.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,27.32
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_06-Quantum_Physics_of_Atoms_Molecules_Solids_Nuclei_and_Particles-EisbergResnick.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,58.26
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_068_321-Quantum_Mechanics_Vol_1-Tannoudji.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,20.81
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_068_321-Quantum_Mechanics_Vol_2-Tannoudji.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,15.17
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_07-Introduction_to_Electrodynamics_3e-Griffiths.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,23.41
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_431J-Principles_Of_Nonlinear_Optics-Shen.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,9.21
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_831J-Supersymmetry-Binetruy.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,4.72
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_078_311-Classical_Electrodynamics_3e-Jackson.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,6.85
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_08-Solutions_Manual_for_Introduction_to_Modern_Statistical_Mechanics-Chandler.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,10.75
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_13-An_Introduction_to_Error_Analysis-Taylor.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,21.91
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_231-Introduction_To_Solid_State_Physics_8e-Kittel.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,87.58
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_311-Classical_Electrodynamics-SchwingerDeraadMiltonTsai.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,28.37
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_311-The_Classical_Theory_of_Fields_4e-LandauLifshitz.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,3.8
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_324-The_Quantum_Theory_of_Fields_Volume_2-Weinberg.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,2.58
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_325-Gauge_Theories_in_Particle_Physics_2e-AitchisonHey.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,20.97
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_325-QCD_and_Collider_Physics-EllisStirlingWebber.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,3.86
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_333-Statistical_Mechanics-KengFung.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,4.69
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_511--Principles_of_the_Theory_of_Solids-Ziman.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,13.21
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_591-An_Introduction_to_Systems_Biology-Alon.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,8.41
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_701-Introductory_Nuclear_Physics-Wong.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,22.74
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_901-Stellar_Structure_and_Evolution-KippenhahnWeigert.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,5.6
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_06-Modern_Quantum_Mechanics_2e_Solutions-Sakurai.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,0.62
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_831J-Supersymmetry_and_supergravity-WessBagger.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,1.68
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_325-Gauge_Theory_of_Elementary_Particle_Physics_-_Problems_and_Solutions-ChengLi.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,2.24
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_286-The_First_Three_Minutes-Weinberg.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,2.86
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_20-Introduction_to_special_relativity-Rindler.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,1.28
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_431J-Nonlinear_Optics_-_Basic_Concepts-Mills.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,1.56
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_851-Heavy_Quark_Physics-ManoharWise.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,0.93
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_08-Introduction_to_Modern_Statistical_Mechanics-Chandler.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,2.16
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_01-Physics_for_Engineers_and_Scientists-OhanianMarkert.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,2.82
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_0338_20-Introduction_to_Special_Relativity-Resnick.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,2.93
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_044-Equilibrium_thermodynamics-Adkins.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,1.93
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_286-Introduction_to_cosmology-Ryden.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,5.65
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_03-Vibrations_and_Waves-French.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,3.41
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_0338_20-Special_relativity-French.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,4.1
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_13-Data_Reduction_and_Error_Analysis_for_the_Physical_Sciences-BevingtonRobinson.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,2.22
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_333-Statistical_physics_of_particles-Kardar.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,2.93
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_831J-Modern_supersymmetry-Terning.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,1.74
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_04-Principles_of_quantum_mechanics-Dirac.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,5.13
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_04-Quantum_Physics-Gasiorowicz.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,3.96
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_2768_701-Particles_and_Nuclei_6e-PovhRith.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,3.57
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_06-Introduction_to_quantum_mechanics-Griffiths.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,5.33
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_033-Exploring_black_holes_An_introduction_to_general_relativity-TaylorWheeler.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,4.31
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_333-Huang_Statistical_Mechanics-Huang.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,3.78
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_324-The_Quantum_Theory_of_Fields_Volume_3-Weinberg.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,3.31
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_044-Heat_and_thermodynamics-ZemanskyDittman.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,3.6
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_7018_811-Introduction_to_Elementary_Particles_2e-Griffiths.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,5.69
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_04-Introductory_quantum_mechanics-Liboff.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,4.39
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_01-An_introduction_to_mechanics-KleppnerKolenkow.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,7.67
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_325-Gauge_Theory_of_Elementary_Particle_Physics-ChengLi.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,5.44
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_431J-Nonlinear_Optics-Boyd.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,3.9
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_028_07-Electricity_and_Magnetism-Purcell.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,9.76
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_962-Spacetime_and_geometry_an_introduction_to_General_Relativity-Carroll.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,4.84
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_068_321-Modern_Quantum_Mechanics_2e-Sakurai.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,11.57
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_09-Mechanics-Scheck.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,3.24
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_901-Black_holes_white_dwarfs_and_neutron_stars-ShapiroTeukolsky.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,14.79
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_261J-Theoretical_Neuroscience_Computational_and_Mathematical_Modeling_of_Neural_Systems-DayanAbbott.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,5.47
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_901-Stellar_Interiors-HansenKawalerTrimble.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,4.49
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_701-Introductory_Nuclear_Physics-Wong.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,24.99
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_421-Atom-Photon_Interaction-TannoudjiRocGrynberg.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,4.41
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_04-Principles_of_quantum_mechanics-Shankar.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,5.78
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_324-The_Quantum_Theory_of_Fields_Volume_1-Weinberg.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,7.67
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_09-Classical_Mechanics-GoldsteinPooleSafko.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,8.66
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_07-Electromagnetism-PollackStump.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,9.29
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_044-Fundamentals_of_statistical_and_thermal_physics-Reif.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,6.01
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_613J-Plasma_Physics_and_Fusion_Energy-Freidberg.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,7.22
,"R. K. Pathria, Paul D. Beale",SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_333-Statistical_mechanics-PathriaBeale.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,6.51
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_323-An_introduction_to_quantum_field_theory-PeskinSchroeder.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,9.13
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_9428_952-Cosmological_physics-Peacock.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,9.38
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_2318_511-Solid_State_Physics-AshcroftMermin.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,14.11
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_371J-Quantum_computation_and_quantum_information-NielsonChuang.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,7.83
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_511-Condensed_Matter_Physics-Marder.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,12.43
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_902-Galactic_Dynamics_2e-BinneyTremaine.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,9.36
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_902-Galaxy_Formation-Longair.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,14.77
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_431J-Fundamentals_of_photonics-SalehTeich.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,37.99
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_901-An_introduction_to_modern_astrophysics-CarrollOstlie.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,28.32
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_01-Physics_for_Scientists_and_Engineers_with_Modern_Physics-SerwayJewett.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,53.23
,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_01-University_Physics_with_Modern_Physics-YoungHughFordFreeman.djvu,SOLEMON,BOOKLIBDATA,-- mit physics,image/vnd.djvu,55.16
0198567707.pdf,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_044-Concepts_in_Thermal_Physics-Blundell.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,16.1
9780198530947.pdf,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_514-Quantum_field_theory_of_many-body_systems-Wen.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,18.86
"A First Course in String Theory, Second Edition",Barton Zwiebach,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_251-A_First_Course_in_String_Theory_2e-Zwiebach.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,4.72
"Condensed Matter Field Theory, Second Edition","Altland Alexander, Simons Ben D.",SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_513-Condensed_Matter_Field_Theory_2e-Altland.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,6.18
DjVu Document,Administrator@NEO-10,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_7018_811-Quarks_and_Leptons_an_Introductory_Course_in_Modern_Particle_Physics-HalzenMartin.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,14.61
INTRODUCTION TO ELEMENTARY PARTICLE PHYSICS,ALESSANDRO BETTINI,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_811-Introduction_to_Elementary_Particle_Physics-Bettini.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,3.92
Microsoft Word - PORTADA.doc,mark,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_09-Classical_Dynamics_of_Particles_and_Systems-Thornton.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,20.81
Modern Physics,Paul A. Tipler,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_02-Modern_Physics_5e-TiplerLlewellyn.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,28.04
Relativity: The Special and General Theory,Albert Einstein,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_20-Relativity_The_Special_and_the_General_Theory-Einstein.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,1.3
SUPERSYMMETRY AND STRING THEORY: Beyond the Standard Model,MICHAEL DINE,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_831J-Supersymmetry_and_String_Theory_Beyond_the_Standard_Model-Dine.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,2.25
String Theory and M-Theory,"KATRIN BECKER, MELANIE BECKER and JOHN H. SCHWARZ",SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_251-String_Theory_and_M-Theory__Modern_Introduction-Becker.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,4.33
To Measure the Sky: An Introduction to Observational Astronomy.,Frederick R. Chromey,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_287-To_Measure_the_Sky_An_Introduction_to_Observational_Astronomy-Chromey.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,5.17
Understanding Relativity: A Simplified Approach to Einstein's Theories,Leo Sartori,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_0338_20-Understanding_Relativity-Sartori.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,5.42
book.dvi,,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_351J-Structure_and_Interpretation_of_Classical_Mechanics-SussmanWisdom.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,10.94
ebooksclub.org__Course_of_Theoretical_Physics__Volume_01__Mechanics__3rd_edition__1982_01.djvu,Jfly,SOURCE_ARCHIVE/BOOKLIBDATA/-- mit physics/8_078_223-Mechanics_3e-LandauLifshitz.pdf,SOLEMON,BOOKLIBDATA,-- mit physics,application/pdf,6.62
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/A Dictionary of the Terminology of Pashtun's Tribal Customary Lawand Usages.PDF,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,21.52
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/Afghan Peace_ Illusion and Reality _ TOLOnews.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,1.74
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/Afghanistan under the khalq.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,2.77
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/frontier of the afghan and beyond.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,24.1
,,"SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/The Hazaras of Afghanistan An Historical, Cultural, Economic and Political Study by Sayed Askar Mousavi.pdf",SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,8.71
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/The Hazaras of Afghanistan Mousavi.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,8.71
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/The_Prehistory_of_the_Silk_Road__Encounters_with_Asia_.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,24.03
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/Russias War in Afghanistan by David Isby Ronald Volstad.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,3.29
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/The Afghans.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,49.99
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/Javid-Nama.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,5.14
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/the_races_of_afghanistan-henry_walter_bellew-1880.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,5.43
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/Reforming fiscal and economic management in afghanistan.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,0.91
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/Historical_Atlas_of_Central_Asia__2008.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,12.24
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/The Afghanistan-Pakistan theater militant Islam Security & Stability.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,1.68
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/South_Asia_and_Central_Asia__Geopolitical_Dynamics_2005_.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,52.52
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/Heela NajibullahReconciliation and Social Healing in Afghanistan.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,3.32
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/The Failure of Political Islam by Olivier Roy.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,3.67
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/building_a_new_afghanistan.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,2.24
,ids,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/The Taliban Revival Violence and Extremism on the Pakistan-Afghanistan Frontier by Hassan Abbas.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,26.65
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/The Indian Frontier Horse and Warband in the Making of Empires Gommans.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,7.51
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/My Life with the Taliban by Abdul Salam Zaeef.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,3.18
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/The Taliban and the Crisis of Afghanistan by Crews Tarzi.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,1.65
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/tragedy of afghanistan anwar.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,8.47
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/Rasanayagam afghanistan a modern history.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,14.05
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/Revolution Unending Afghanistan.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,1.76
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/Soviet-American Relations with Pakistan Iran and Afghanistan by Hafeez Malik.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,42.99
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/Barnett R Rubin-The Fragmentation of Afghanistan.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,44.92
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/Medieval History of Iran Afghanistan and Central Asia Bosworth.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,19.14
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/The Emergence of Modern Afghanistan Politics of Reform and Modernization by Vartan Gregorian.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,33.71
,,SOURCE_ARCHIVE/BOOKLIBDATA/AFGHANISTAN_SPECIFICBOOKS/Routledge Handbook of Contemporary Pakistan.pdf,SOLEMON,BOOKLIBDATA,AFGHANISTAN_SPECIFICBOOKS,application/pdf,3.5
