folder,n,domain,knowledge
econophysics,10,False,False
History Philosophy Politics Economics,10,True,True
gis_r,9,False,False
Plant Physiology Books and Editions,9,False,False
environmental geography,9,True,False
Thesis-pdf,9,False,False
MA2012,9,False,False
BBS,9,False,False
afghacom,9,False,False
Hill-International,9,False,False
database prints,9,False,False
criaf,9,False,False
agricensus,9,False,False
UNDOC,9,False,False
Jain_philosophy,9,False,True
political_geography,9,True,False
newpack,9,False,False
deserts_geography,9,True,False
Sufism,9,False,False
Acm,8,False,False
newbag,8,False,False
OSHGIS,8,False,False
foodsec_banep,8,False,False
MA2014,8,False,False
INDIA,8,False,False
annas-afgh,8,False,False
afghanistan3,8,True,False
carbon sequestration,8,False,False
pythonbooks,8,False,False
Asia Minor Regional Studies and Music,8,False,False
wartheory,8,True,True
english_writing,8,False,False
MAPS,8,False,False
MPHIL2011A,8,False,False
democtratic_ideals_reality_parts,8,False,False
energy_yearbook,8,True,False
fao_countryprofile,8,False,False
Kamlesh,7,False,False
afg_wb06,7,False,False
semiotics_books,7,False,True
humanitarianintervention,7,False,False
LECTURE5,7,False,False
VineetaPhD,7,False,False
MPHIL2020B,7,False,False
award,7,True,False
material_haokip,7,False,False
sed_awk_regex,7,False,False
semiotics,7,False,True
ironsteel,7,False,False
UNESCO_CASIA,7,False,False
democratic transition,7,False,False
lectures,7,False,False
2016_random,7,False,False
gisppt,7,False,False
GRAEZ,7,False,False
afgdistricts,7,False,False
endsem,7,False,False
JCTS,7,False,False
books_Afg,7,False,False
Fukuyama,7,False,False
BOOKLIBRANDOM,7,False,False
student_list,7,False,False
2013,6,False,False
al_qaeda,6,False,False
physics2,6,False,False
SA654,6,False,False
locational_analysis,6,False,False
unsorted_by_ollama,6,False,False
richthofen,6,False,False
BANGLARICE,6,False,False
HDRSASIA,6,False,False
socialconstructivism,6,False,False
semiotics2,6,False,True
southasia_resources,6,False,False
holdings,6,False,False
GIS,6,False,False
maiwand_all,6,False,False
japan,6,False,False
monsoons,6,False,False
hoobeslockerousseau,6,False,False
digital_hermeneutics,6,False,True
correlates_of_war,5,True,False
nepalwater,5,False,False
Cover,5,False,False
Draft_Sindhufinal,5,False,False
regionalism,5,False,False
himalayan_geology,5,False,False
mphil_textreader,5,False,False
Syllabus_OLD,5,False,False
energy,5,True,False
industreaty,5,False,False
agriGIS,5,False,False
faculty_pdf,5,False,False
LOUIDUPREE,5,False,False
MA2015,5,False,False
BOOKS1,5,False,False
Shikhu_mahato,5,False,False
pravin,5,False,False
Brill Ebooks,5,True,False
IR_GEOPOLITICS,5,True,False
southasia_carto,5,False,False
resource_lec4,5,False,False
assignments,5,False,False
lankaagri,5,False,False
agri_student,5,False,False
pakcottonpapers,5,False,False
afpak_semester,5,False,False
AF_GEO,5,False,False
akash,5,False,False
electronic_warfare,4,True,False
districtdata,4,False,False
afg_accords,4,False,False
pdfver,4,False,False
final draft,4,False,False
practicals,4,False,False
exams,4,False,False
globalisation,4,False,False
ecoishan,4,False,False
BANGLADESH,4,False,False
653_farzi,4,False,False
plant_tissue_culture,4,False,False
answerscripts,4,False,False
ghaznavids,4,False,False
indianeconomy,4,False,False
answer_scripts,4,False,False
testcase,4,False,False
balance of power,4,False,False
planning,4,False,False
SASIA,4,False,False
india,4,False,False
2022,4,False,False
mahima,4,False,False
amitmishra,4,False,False
akshay,4,False,False
Tsering,4,False,False
shambhavi,4,False,False
js_him222,4,False,False
bagsofpdfprints,4,False,False
philippines,4,False,False
USAID_AFG,3,False,False
Gunjan Priya PhD,3,False,False
shaniya,3,False,False
maths for social and political research,3,True,False
industrial_region_concept,3,False,False
Sirajultawarikh,3,True,False
hafeezmalikboks,3,False,False
